run_id,timestamp,mode,model,rank,epochs,lr,val_acc,val_f1,test_acc,test_f1,runtime_sec,gpu_mem_max_mb,gpu_name
1758536578,,,,,,,,,,,,,
1758538751,,,,,,,,,,,,,
1758559555,,,,,,,,,,,,,
1758565325,,,,,,,,,,,,,
1758570737,,,,,,,,,,,,,
1758619710,,,,,,,,,,,,,
1758623855,,,,,,,,,,,,,
1758625856,,,,,,,,,,,,,
1758628052,,,,,,,,,,,,,
1758630064,,,,,,,,,,,,,
1758632685,,,,,,,,,,,,,
1758636905,,,,,,,,,,,,,
1758640741,,,,,,,,,,,,,
1758654570,,,,,,,,,,,,,
1758666099,,,,,,,,,,,,,
1758668442,,,,,,,,,,,,,
1758668845,,,,,,,,,,,,,
1758494592,2025-09-21 22:46:07,prompt/cot,meta-llama/Meta-Llama-3.1-8B-Instruct,,,,,,0.6933333333333334,0.4849673202614379,,,
1758495623,2025-09-21 23:03:18,prompt/cot,meta-llama/Meta-Llama-3.1-8B-Instruct,,,,,,0.6933333333333334,0.4849673202614379,,,
1758538751,2025-09-22 11:03:34,prompt/cot,meta-llama/Meta-Llama-3.1-8B-Instruct,,,,,,0.6933333333333334,0.4849673202614379,,,
1758559555,2025-09-22 16:48:50,prompt/cot,meta-llama/Meta-Llama-3.1-8B-Instruct,,,,,,0.6933333333333334,0.4849673202614379,,,
1758570737,2025-09-22 19:55:13,prompt/cot,meta-llama/Meta-Llama-3.1-8B-Instruct,,,,,,0.6933333333333334,0.4849673202614379,,,
1758666099,2025-09-23 22:25:03,prompt/cot,meta-llama/Meta-Llama-3.1-8B-Instruct,,,,,,0.6933333333333334,0.4849673202614379,,,
1758668442,2025-09-23 23:04:18,prompt/cot,meta-llama/Meta-Llama-3.1-8B-Instruct,,,,,,0.6933333333333334,0.4849673202614379,,,
1758668845,2025-09-23 23:10:21,prompt/cot,meta-llama/Meta-Llama-3.1-8B-Instruct,,,,,,0.6933333333333334,0.4849673202614379,,,
1758715963,2025-09-24 12:18:38,prompt/cot,meta-llama/Meta-Llama-3.1-8B,,,,,,0.6133333333333333,0.4318142133752401,,,
1758487766,2025-09-21 20:51:01,prompt/cot,meta-llama/Meta-Llama-3.1-8B-Instruct,,,,,,0.5066666666666667,0.2349101921470342,,,
